"state","confirmed_Nov_30","confirmed_Sep_30","confirmed_July_30","confirmed_May_30","confirmed_Mar_30","population","Nov_rate","Sep_rate","July_rate","May_rate","March_rate","Biden","Trump","Biden Support Rate","Support Which Party","2014"
"Alabama",249524,154772,86664,17689,1001,4903185,0.0508901866847773,0.0315656048058558,0.0176750418350521,0.00360765502423425,0.000204153014826077,849648,1441168,0.370893166452478,"Republican",7281
"Alaska",32576,8845,3605,455,119,731545,0.0445304116629872,0.0120908488199632,0.00492792651169784,0.00062197130730167,0.000162669418832744,153405,189892,0.446857968464624,"Republican",11064
"Arizona",326817,218507,170798,19258,1157,7278717,0.0449003581263017,0.0300199884127931,0.0234653991905442,0.00264579595552348,0.000158956585343269,1672143,1661686,0.501568316791293,"Democratic",6452
"Arkansas",157359,83697,41759,7013,473,3017804,0.0521435454390013,0.0277344055478752,0.0138375454469541,0.00232387524173207,0.000156736487856733,420328,757405,0.356895832926478,"Republican",7408
"California",1230264,819115,492934,109895,7155,39512223,0.0311362891427293,0.020730673644963,0.0124754813213116,0.00278129124752105,0.000181083205569072,11109764,6005961,0.649096897735854,"Democratic",7549
"Colorado",232905,70536,46204,26098,2627,5758736,0.0404437709941904,0.012248521203264,0.00802328844385296,0.00453189727745811,0.000456176494286246,1804352,1364607,0.569383194923001,"Democratic",6804
"Connecticut",117295,57550,49670,42022,2571,3565287,0.0328991747368445,0.016141758012749,0.013931557263132,0.0117864284137574,0.000721120066911864,106736,33713,0.759962691083596,"Democratic",9859
"Delaware",35654,20613,14689,9422,264,973764,0.0366146212018518,0.021168373445722,0.0150847638647557,0.00967585575149626,0.000271112918530568,296268,200603,0.596267441649845,"Democratic",10254
"District of Columbia",21552,15326,12057,8717,401,705749,0.0305377690935446,0.0217159358355449,0.0170839774480729,0.012351416721809,0.000568190674021501,316802,18568,0.944634284521573,"Democratic",11944
"Florida",999319,706516,461379,55424,5473,21477737,0.0465281328288916,0.0328952719739514,0.0214817324562639,0.00258053257659315,0.000254822004757764,5297045,5668731,0.483052453378584,"Republican",8076
"Georgia",471563,318026,182286,46331,2808,10617423,0.0444140729817395,0.0299532193452215,0.017168572826005,0.00436367657198927,0.000264470954957714,2473642,2461873,0.50119227679381,"Democratic",6587
"Hawaii",18223,12597,1989,651,175,1415872,0.0128705137187542,0.00889699068842381,0.00140478800343534,0.000459787325407946,0.000123598743389233,366130,196864,0.650326646465149,"Democratic",7299
"Idaho",101698,42048,20242,2803,340,1787065,0.0569078349136713,0.0235290826019199,0.0113269522932854,0.00156849359144743,0.000190256090293302,285460,546292,0.343203262510941,"Republican",6927
"Illinois",726304,295720,178135,118917,5056,12671821,0.0573164661969262,0.0233368195462988,0.0140575691528471,0.00938436551463282,0.000398995535053723,3464380,2433935,0.587350794252257,"Democratic",8262
"Indiana",338977,120019,65253,34211,1786,6732219,0.0503514517278775,0.0178275543323828,0.00969264368850746,0.00508168257746814,0.000265291429170679,1242495,1729852,0.418018151985619,"Republican",8300
"Iowa",230631,89247,44285,19244,424,3155070,0.0730985366410254,0.0282868525896414,0.0140361386593641,0.00609938923700584,0.000134386875727004,759061,897672,0.458167369153629,"Republican",8200
"Kansas",159915,61175,26885,9690,372,2913314,0.0548910965313042,0.0209984231016636,0.00922832211014673,0.00332610902909882,0.000127689634553639,558669,758100,0.424272594509743,"Republican",7651
"Kentucky",179041,68840,29386,9704,479,4467673,0.0400747771826631,0.015408468793486,0.00657747332895671,0.0021720479542706,0.000107214650669375,770970,1320961,0.36854466041184,"Republican",8004
