state,county,Biden,Trump
Alabama,Autauga,"7,503","19,838"
Alabama,Baldwin,"24,578","83,544"
Alabama,Barbour,"4,816","5,622"
Alabama,Bibb,"1,986","7,525"
Alabama,Blount,"2,640","24,711"
Alabama,Bullock,"3,446","1,146"
Alabama,Butler,"3,965","5,458"
Alabama,Calhoun,"15,216","35,101"
Alabama,Chambers,"6,365","8,753"
Alabama,Cherokee,"1,624","10,583"
Alabama,Chilton,"3,073","16,085"
Alabama,Choctaw,"3,127","4,296"
Alabama,Clarke,"5,755","7,324"
Alabama,Clay,"1,267","5,601"
Alabama,Cleburne,675,"6,484"
Alabama,Coffee,"5,076","16,899"
Alabama,Colbert,"8,343","19,203"
Alabama,Conecuh,"2,966","3,442"
Alabama,Coosa,"1,796","3,631"
Alabama,Covington,"2,721","14,586"
Alabama,Crenshaw,"1,700","4,864"
Alabama,Cullman,"4,478","36,880"
Alabama,Dale,"5,170","14,303"
Alabama,Dallas,"12,230","5,524"
Alabama,DeKalb,"4,281","24,767"
Alabama,Elmore,"10,367","30,164"
Alabama,Escambia,"4,918","10,869"
Alabama,Etowah,"11,567","35,528"
Alabama,Fayette,"1,395","7,300"
Alabama,Franklin,"2,086","10,376"
Alabama,Geneva,"1,595","10,848"
Alabama,Greene,"3,884",875
Alabama,Hale,"4,687","3,190"
Alabama,Henry,"2,606","6,607"
Alabama,Houston,"12,917","32,618"
Alabama,Jackson,"3,717","19,670"
Alabama,Jefferson,"181,688","138,843"
Alabama,Lamar,978,"6,174"
Alabama,Lauderdale,"11,915","31,721"
Alabama,Lawrence,"3,562","12,322"
Alabama,Lee,"27,860","42,221"
Alabama,Limestone,"13,672","34,640"
Alabama,Lowndes,"4,972","1,836"
Alabama,Macon,"7,108","1,541"
Alabama,Madison,"87,286","102,780"
Alabama,Marengo,"5,488","5,343"
Alabama,Marion,"1,463","12,205"
Alabama,Marshall,"5,943","33,191"
Alabama,Mobile,"79,474","101,243"
